Minute_1,Minute_2,Minute_3,Minute_4,Minute_5,Minute_6,Minute_7,Minute_8,Minute_9,Minute_10,Minute_11,Minute_12,Minute_13,Minute_14,Minute_15,Minute_16,Minute_17,Minute_18,Minute_19,Minute_20,Minute_21,Minute_22,Minute_23,Minute_24,Minute_25,Minute_26,Minute_27,Minute_28,Minute_29,Minute_30,Minute_31,Minute_32,Minute_33,Minute_34,Minute_35,Minute_36,Minute_37,Minute_38,Minute_39,Minute_40,Minute_41,Minute_42,Minute_43,Minute_44,Minute_45,Minute_46,Minute_47,Minute_48,Minute_49,Minute_50,Minute_51,Minute_52,Minute_53,Minute_54,Minute_55,Minute_56,Minute_57,Minute_58,Minute_59,Minute_60,Sample_Type
327.2999369328586,309.0454604208149,284.36381817241465,289.8714708505055,291.7789506982356,292.2331840102637,324.7193042740369,357.9810525079435,332.84392490357413,346.93108204907463,341.7540891255897,346.3701296739878,317.1993224593045,338.60028800364273,357.64118119214527,355.1931536036617,339.74750671110013,337.4850805469289,337.67160458849077,366.4724945423365,400.27856901091286,403.8591402759653,384.5288157497279,379.2543833555145,405.9795907676819,376.13068150622905,359.7541594700291,356.90037715638823,352.5666510599262,318.2688389218161,339.1132085494461,353.035174888506,364.63038432397224,334.99752006226544,360.7639508646231,393.94731051722295,392.98654024585886,383.26747496262635,403.73814902278673,384.06663823706367,377.91356101856945,383.5322656623822,354.519855974163,384.9138386126391,392.39276986886074,416.62082382581207,384.66408507522027,399.0482200697121,384.03582956905746,383.28868014846773,369.19827761910955,350.34910624631027,370.60026297023427,365.24147746510437,388.7087019926771,363.8535846079163,360.03378227235885,342.6122416268683,323.84387019266967,336.14485610913374,In-sample
338.32482680382975,341.4639467175913,334.825281440501,354.89388767973605,358.35046290225176,328.2497526085038,335.9060348855049,320.94931994381835,307.53554980570664,303.95765075506563,335.379141222421,305.5601894489488,320.01105671049294,347.72292006656266,368.58962730185266,387.46654394333774,422.31142419742207,415.09681884645454,387.26411061359113,354.54031507627,326.77300358891375,339.03243123683785,327.32839800082854,352.95445308927356,319.07543316840156,353.59629481745793,371.10878602828774,376.22142916903664,358.4650237652387,331.40305763697506,336.7506027516955,320.3559811474427,287.86754218103727,321.5641025557915,315.947106405765,287.150185744526,297.92589433988735,271.27430508644477,295.9165071798861,261.6368875776134,277.50025942440095,279.4608763360719,275.48460813408883,256.0538138730509,256.3937027391373,242.51164792267022,221.33810687588405,252.50049985246594,280.6967127749607,303.2017932854457,282.6413126029009,251.37834252755687,275.03235038153525,299.07907386935983,287.41945819739954,311.15784494695515,314.7077281440978,342.26992733989465,354.55026351374164,327.56738204218834,In-sample
324.27470373214976,351.48393434361634,322.52451828933556,341.29554379890067,313.92567513805886,314.3583043941374,291.04276018142593,322.33184845292647,318.9271407297029,327.9062044845465,328.3858159437901,341.28838590723626,346.8406519958013,351.0103129374108,380.9057271788958,359.4156004827283,373.9862452258536,375.86880604579625,358.68282036932527,360.12507503613705,354.4755676950489,385.7401058906989,400.42920186444627,411.31976971940486,415.09833353885995,401.83055763862967,423.85407905754295,451.62721229169085,418.9687166110703,428.68930665000744,438.18460060804,409.0304803891446,432.28356824075695,442.80883866712804,447.2819823036531,417.1928653552685,410.1057690628741,377.7162374725304,370.594196903162,375.75743787259114,347.505294926852,330.0861032438859,302.6055287178597,288.27883202329093,307.5468389179407,334.6970349143403,307.12673755487253,339.6711610346143,337.70889466685526,358.2285878374232,357.38333360589974,341.3786036255589,317.75167528957815,335.6853640715106,338.4204141618963,347.3036211171809,325.75433307692884,345.6518722915538,311.1276335253174,311.13878208538296,In-sample
515.8712669098122,530.3375782957202,525.7135580247343,535.7783053477615,558.170353860848,591.620288888252,594.2571863397634,566.7551606856005,591.1805881512904,579.7178126144206,570.1931812641026,538.6938064713684,565.5263209259264,571.2021997924464,589.8154241189752,594.4162363173054,567.7521964402007,544.0360223793883,564.5158081087194,595.5902792935227,567.7226657342027,578.8232690497116,557.0560349341205,536.8850488159474,532.4038420066261,511.08224361198046,483.76249665981277,459.40074768047185,448.8897952718166,431.82586898948097,441.3805636048211,442.4335558853719,428.60887608306416,447.6226167209121,435.9183512496824,406.08323307903896,419.0516601259851,433.839392748778,444.97859527559257,460.45999189609324,471.9325720894634,453.00461744228704,454.2815332012741,452.55855568733085,434.0535350885905,448.7898407709154,458.88277131227176,492.89564779857403,501.5067196151886,502.3076353087941,482.59053783047557,476.73658039690264,461.7297795895249,458.73601750407335,466.779191275638,434.33528509877146,410.81231465661466,395.69979372362553,374.1190121437197,348.8254616054973,In-sample
392.3646380227352,419.47083651862545,401.72344578106856,378.03307536545947,409.1022361959973,418.5330145910897,398.9526112023671,406.5172836300421,389.3003189466285,381.61711471262043,389.12582614821446,421.996305831491,412.3148521305637,440.01115961153477,428.89638961144493,429.93734694242744,445.81142059552604,455.7527210875294,449.63112293159224,455.9686130597336,450.52656122720737,439.68826392643643,419.6450631334153,390.26582676116794,413.4610739646798,396.99203284889154,388.6559730574345,414.26285894659077,390.2150700041426,359.1885241303133,370.4175150074213,403.62832796743396,382.206871628127,390.03814021079285,374.6682097078588,339.7061575131621,307.8764534532854,273.29517380288354,260.33711933577456,269.14296255906754,287.40335106505336,294.0793182575149,270.25048986252057,254.11257135082863,226.7048375321585,221.4932321103701,233.7816130833535,265.47906285836456,230.76383292596205,247.59784875814086,233.9987254239816,251.8826610045275,232.19275143530726,239.82716228217842,225.15032590442308,224.48253280546962,225.90506466703914,224.6184683555234,245.0000420228759,258.00546664765375,In-sample
527.9673290636325,541.0094958694708,517.8047228585915,515.8010395868591,527.2383973020404,552.14893165626,579.6186366396125,577.0433874661508,589.8714748653191,584.9821610787344,592.4382371961763,591.0027458302549,577.6247737405291,551.1153649324206,585.0621878297898,598.9031283028717,572.1947158204667,596.6549886582046,590.7053988539602,599.1775163449057,565.6111756948617,574.5620847678993,582.6848102168381,553.4798277560953,534.7184461264828,566.4095424137444,577.4767725017306,584.1618080793052,577.8489691702788,559.941605841662,537.2217418470037,538.3420670825003,551.4958743231242,540.5070076272552,566.0643128973323,558.3162540239649,554.7817286762223,587.7044912139781,589.4492844158558,565.6529135690882,594.7345117390835,589.0757843152268,587.5401756641718,594.2059470230113,572.443771434192,538.7965525785369,523.067731262375,510.2367411641964,544.72714984959,555.3484670967871,575.9067324942841,563.918611411621,552.4827289109202,551.4525939348881,575.1801226118175,581.6829781064611,555.0145690967274,559.6144574757836,528.498221438255,549.4792497276553,In-sample
526.3778729238072,518.8074347860895,517.0989708102276,517.6822153999541,549.4607010644778,550.6615305324638,567.8369172396445,538.5843183327598,509.18555425183695,496.3918342093987,501.50297626898634,529.8698115266984,499.2670757890876,510.5580798347954,511.2853858237379,519.6707539635402,498.81974362421596,487.6926644978265,452.7380972411273,472.3752435029078,441.28824524476886,470.12774050621096,462.1496571157987,476.9023105123469,494.6014953043762,494.67532755258446,522.2783326065477,548.522630442837,563.275273971061,534.3318343032271,555.2380403976109,570.556118590164,542.1084833482407,559.7935848296996,572.1080400206366,588.0525811253656,595.914018411564,581.2544424773197,558.659262517677,553.6940003584874,572.5193588288034,593.8739464905236,560.1839370014147,585.7617391567992,570.7330306471757,574.6164138397957,552.3090014677643,527.1207967879889,526.5780790871827,517.5864731106539,506.63488041207273,534.0986823792755,523.2520750844019,554.4835546080287,530.3702007125744,547.8953479937333,534.3459691519911,509.0423443772894,504.41121289556247,521.5134738244686,In-sample
396.069713818215,379.5119782497795,407.08436466218143,397.90345114502236,431.0421571774341,461.8510059357803,435.37243362369264,429.1429681759126,458.19724572355113,479.6837024194894,444.7602633799971,448.9859538412398,442.3801736619509,428.0570232872635,428.9643034697707,453.12686158456034,487.3339485502481,500.83851234380666,522.4834957985959,541.5025424485045,548.2959196261302,546.2801547011696,565.0503029778773,598.6109150278548,599.7446367371155,578.1759576796317,563.7152629659586,534.3720175036271,565.8571637304178,561.9149778695419,563.6708545217288,530.2397393600368,561.3404056939842,557.8709194149383,553.8453891907509,537.3525948146485,508.47676314111146,523.8809445574119,556.5839366227045,570.6651305845346,570.6724982418282,543.7908828006009,561.2557552750819,535.0215608866565,505.53050550588046,518.7069720272982,520.9912709169156,518.3540158929472,538.7998422697433,528.4686308399037,534.9261556079708,536.6681677656715,519.4424812019226,522.2397714779672,517.4821760532782,546.3652393717382,537.634988605754,532.0714978556924,503.36320400493264,496.4691177995424,In-sample
565.6380592867399,574.5327035343942,590.3044799338161,555.6597578231323,521.5752557810807,518.3230629126573,550.1807194606458,534.0533765793585,547.285577198063,545.9937078095619,533.2531448198453,527.6337428236804,557.0722154610532,577.6317421446346,587.1167611262622,570.9672456623762,555.4609854450113,583.8047771559825,566.2106353780621,577.4048980646345,592.1956364185833,591.4039557754807,574.1414888365722,578.9171349966617,572.9668120068106,548.7669187865486,554.685496800069,539.3703328904801,549.6444946869346,550.8840746315559,565.9155860246767,541.5042052299435,555.3216176163182,570.7080366467204,552.4289265811584,556.5857839151804,591.0279120431554,593.5271032739332,577.916993838497,555.8528028162964,581.6993150610729,567.11885075882,577.6171377658565,596.8660669227314,576.3658436229363,569.8297038654167,541.7247299077873,563.1232183740938,537.828378333085,555.1436617474344,521.3515494876006,512.7569930747416,530.1112055549969,503.81956835125146,491.4243745580717,491.8677230617513,490.5987044692051,457.6580018112478,440.677017770029,446.9451647178739,In-sample
456.4977226300658,481.6011750913171,468.212756796599,445.69541004942715,471.4153555985172,474.3265104866297,478.91390009405615,474.25158108902724,506.4979160262094,485.99821353400085,513.961936561579,541.7906108742001,507.8845298573804,479.22933225198545,496.02346288430124,526.3581811511613,539.4525799668958,532.4281577194447,548.3568117288586,520.1025234004479,539.2533225994587,554.3874797965968,546.8414508109234,575.7479697698582,582.2088116247421,556.0040430626365,532.9660705039538,527.9823677871606,493.2345325251836,476.0479597370049,481.40459300349636,505.7095068597074,475.072874496079,509.64841822593974,540.9285816912366,553.3017912112441,587.4591308612306,566.1934455305841,576.4285325883907,570.0482362799903,582.8827422809172,598.8153380588144,564.3655258252323,569.6358425900154,547.3715033684915,547.3305280966723,540.2070009157658,552.5157964180778,549.758495423569,582.6504279920783,557.5319463707242,568.8908801079515,566.5232917422231,532.5033333283486,564.1133582661504,533.108572763035,508.7850845598361,508.7549426091266,519.1324024863457,504.34782795951884,In-sample
